,marketSegment,name,slug,ticker,totalSupply
508,Marketplace,LBRY Credits,library-credit,LBC,705211760
509,Financial,ALBOS,albos,ALB,28710000000
510,Social,Waletoken,waletoken,WTN,19918713666.786705
511,Mining,Eden,archer-dao-governance-token,EDEN,100000000
512,Financial,BABB,babb,BAX,50000000000
513,Blockchain Network,Zilliqa,zilliqa,ZIL,15289891740.404314
514,Platform,XMax,xmax,XMX,30000000000
515,Exchange,Binance Coin,binance-coin,BNB,166801148
516,Financial,WeTrust,trust,TRST,100000000
517,Trading,Vivid Coin,vivid-coin,VIVID,7910746.172528
518,Insurance,Bridge Mutual,bridge-mutual,BMI,160000000
519,Gaming,Refereum,refereum,RFR,4999650000
520,Entertainment,TRON,tron,TRX,100850743811.662
521,Financial,Genesis Vision,genesis-vision,GVT,4436643.92853333
522,Verification,THEKEY,thekey,TKY,9795844687
523,Other,Sakura Bloom,sakura-bloom,SKB,6000000000
524,,IQ.cash,iqcash,IQ,19821218.95644556
525,Cryptocurrency,Groestlcoin,groestlcoin,GRS,78804593.88736624
526,Cryptocurrency,Lightning Bitcoin,lightning-bitcoin,LBTC,7465926
527,Entertainment,More Coin,more-coin,MORE,30000000
528,Cryptocurrency,Kalkulus,kalkulus,KLKS,19885974.80102382
529,Binance,Radio Caca,radio-caca,RACA,443478491084
530,Trading,QASH,qash,QASH,1000000000
531,Marketing,indaHash,indahash,IDH,399999999.991697
532,Blockchain Service,Proxeus,proxeus,XES,300000000
533,Smart Contracts,Stellar,stellar,XLM,50001802609.023094
534,Data,UnMarshal,unmarshal,MARSH,100000000
535,Platform,Furucombo,furucombo,COMBO,100000000
536,Data,Bottos,bottos,BTO,1000000000
537,Privacy,Bytecoin,bytecoin-bcn,BCN,184066828814.058
538,Financial,Trust Wallet Token,trust-wallet-token,TWT,1000000000
539,Neo,Trinity Network Credit,trinity-network-credit,TNC,1000000000
540,Other,Globalvillage Ecosystem,globalvillage-ecosystem,GVE,1000000000
541,Ethereum,Name Changing Token,name-changing-token,NCT,39442342.51678241
542,Cloud Storage,Bitcoin File,bitcoin-file,BIFI,21050000000
543,Interoperability,IRISnet,irisnet,IRIS,2047501084.306359
544,Cryptocurrency,T.OS,t-os,TOSC,2088368121.484905
545,Virtual Reality,Spectiv,signal-token,SIG,378851756.13266844
546,Smart Contracts,YUI Token,yui-token,YUI,27823
547,Decentralized Exchange,Futureswap,futureswap,FST,3481138.86850952
548,Marketplace,Sentinel Chain,sentinel-chain,SENC,500000000
549,Travel,MAPS,maps,MAPS,10000000000
550,Marketplace,LockTrip,lockchain,LOC,18579040.57192072
551,Financial,HorusPay,horuspay,HORUS,1200000000
552,Cryptocurrency,Electroneum,electroneum,ETN,17906540386.45
553,Data,Biotron,biotron,BTRN,411092461
554,Financial,Nxt,nxt,NXT,998999941.50769
555,Tokenization,Convergence,convergence,CONV,10000000000
556,Financial,Stronghold Token,stronghold-token,SHX,100000000000
557,Energy,Electrify.Asia,electrifyasia,ELEC,749999945.2724185
558,Interoperability,Nerves,nerves,NER,5000000000
559,Decentralized Exchange,Lykke,lykke,LKK,1285690000
560,Ethereum,BOMB,bomb,BOMB,898321
561,Gaming,DMarket,dmarket,DMT,56921773.1719715
562,Cryptocurrency,Viacoin,viacoin,VIA,23174754.6077522
563,Financial,ION,ion,ION,19673266.83118454
564,Trading,Wootrade,wootrade,WOO,2991373775.8408227
565,Tokenization,Atlantis Blue Digital Token,atlantis-blue-digital-token,ABDT,399998765
566,AI,Nebula AI,nebula-ai,NBAI,4966351487
567,Blockchain Service,Decentralized Machine Learning,decentralized-machine-learning,DML,272937006.72553134
568,Financial,Distributed Credit Chain,distributed-credit-chain,DCC,3423933690.00001
569,Financial,PayPie,paypie,PPP,165000000
570,Infrastructure,Ardor,ardor,ARDR,998999495
571,Financial,SwissBorg,swissborg,CHSB,1000000000
572,Cryptocurrency,Jesus Coin,jesus-coin,JC,20325184344.1018
573,Blockchain Network,Ternio,ternio,TERN,899921008
574,Exchange,UNUS SED LEO,unus-sed-leo,LEO,985239504
575,Sports,SportyCo,sportyco,SPF,70673453.9859041
576,Tokenization,Centrifuge,centrifuge,CFG,430011123
577,E-Commerce,Pundi X NEM,pundi-x-nem,NPXSXEM,44748244753.68
578,Education,Educoin,edu-coin,EDU,15000000000
579,Cryptocurrency,DNotes,dnotes,NOTE,155043262.252
580,Social,Influence Chain,influence-chain,IFC,1000000000
581,Blockchain Service,Arcblock,arcblock,ABT,186000000
582,Ardor,Ignis,ignis,IGNIS,999449694
583,Data,Aeron,aeron,ARN,20000000
584,Gaming,DMScript,dmscript,DMST,100000000
585,Gambling,BetterBetting,betterbetting,BETR,300585863.0178498
586,Cryptocurrency,The ChampCoin,the-champcoin,TCC,198824132
587,Decentralized Exchange,QuickSwap,quickswap,QUICK,1000000
588,Data,Dent,dent,DENT,100000000000
589,Cloud Computing,ARPA Chain,arpa-chain,ARPA,1500000000
590,IoT,IONChain,ionchain,IONC,520000000
591,Decentralized Exchange,OAX,oax,OAX,100000000
592,Blockchain Network,Oasis Network,oasis-network,ROSE,10000000000
593,Lending,Maker,maker,MKR,991328.38195493
594,,Maro,maro,MARO,954710505.112
595,Trading,Rublix,rublix,RBLX,100000000
596,,Compound Uniswap,compound-uniswap,cUNI,0
597,Other,DAEX,daex,DAX,2000000000
598,Cryptocurrency,MktCoin,mktcoin,MLM,2274139409.85096
599,Stablecoin,Gemini Dollar,gemini-dollar,GUSD,187120845.18
600,Cryptocurrency,Valuto,valuto,VLU,62964625
601,Exchange,FTX Token,ftx-token,FTT,335885068.2859715
602,Blockchain Network,TrueChain,truechain,TRUE,100000000
603,Platform,Endorsit,endorsit,EDS,100000000000
604,DeFi,Reef,reef,REEF,15934019762
605,Platform,Penta,penta,PNT,49999999999.9999
606,Interoperability,RAMP,ramp,RAMP,1000000000
607,Data,DaTa EXchange,data-exchange,DTX,225000000
608,,Compound USDT,compound-usdt,cUSDT,4558972537
609,Gaming,Ultra,ultra,UOS,1000000000
610,Cryptocurrency,Dascoin,dascoin,DASC,3294166500.60993
611,Marketplace,Font,font,FONT,2000000
612,Cryptocurrency,Peercoin,peercoin,PPC,27235448.22009635
613,,Aave LINK,aave-link,aLINK,26144473
614,Interoperability,Cellframe,cellframe,CELL,29735000
615,Gambling,CoinPoker,coinpoker,CHP,278237314.35457474
616,Exchange,BlockTrade,blocktrade-token,BTT,57746762
617,Advertising,Bigbom,bigbom,BBO,1993751536.605432
618,Communication Network,BlockMesh,blockmesh,BMH,2000000000
619,Advertising,Kind Ads Token,kind-ads-token,KIND,61000000
620,Stablecoin,bitCNY,bitcny,BITCNY,28245600
621,Prediction Market,Polkamarkets,polkamarkets,POLK,100000000
622,Media,Transcodium,transcodium,TNS,85900000
623,Decentralized Exchange,TitanSwap,titanswap,TITAN,10000000000
624,Cryptocurrency,Ryo Currency,ryo-currency,RYO,32908789.03
625,Decentralized Exchange,JOE,joe,JOE,199010126.2
626,Sports,BoutsPro,boutspro,BOUTS,2000000000
627,Platform,TERA,tera,TERA,1000000000
628,AI,ATN,atn,ATN,210000000
629,Ethereum,Business Credit Alliance Chain,business-credit-alliance-chain,BCAC,512122609.3851905
630,Marketplace,Storm,storm,STORM,9967745869.45655
631,,Aave ETH,aave-eth,aETH,472179
632,Cryptocurrency,Linda,linda,LINDA,13437714976.6654
633,Financial,Bezant,bezant,BZNT,999999820
634,Lending,Magic Internet Money,magic-internet-money,MIM,1933352207
635,Cryptocurrency,GoldMint,goldmint,MNTP,10000000
636,Transportation,Helbiz,helbiz,HBZ,1005250000
637,Prediction Market,Bodhi [ETH],bodhi-eth,BOE,100000000
638,Social,Kuende,kuende,KUE,3013984637
639,Fund,BuckHathCoin,buck-hath-coin,BHIG,500000000
640,Blockchain Service,Cardstack,cardstack,CARD,6000000000
641,,Aave TUSD,aave-tusd,aTUSD,150533312
642,Financial,Freeway Token,freeway-token,FWT,10000000000
643,Ethereum,DigiFinexToken,digifinextoken,DFT,2100000000
644,Blockchain Network,WaykiChain,waykichain,WICC,210000000
645,Cryptocurrency,FuturoCoin,futurocoin,FTO,100000000
646,Social,Patron,patron,PAT,400000000
647,Healthcare,Docademic,docademic,MTC,850000000.0
648,,Aave DAI,aave-dai,aDAI,27109786
649,,Aave MKR,aave-mkr,aMKR,14773
650,,Aave BAT,aave-bat,aBAT,10619595
651,Financial,FuzeX,fuzex,FXT,1087156610
652,,Aave USDT,aave-usdt,aUSDT,115251917
653,Ethereum,Oraichain Token,oraichain-token,ORAI,19779272
654,Transportation,Parkgene,parkgene,GENE,928840384.33
655,Gambling,Quanta Utility Token,quanta-utility-token,QNTU,120000000000
656,Blockchain Service,Presearch,presearch,PRE,500000000
657,Financial,Bitex Global XBX Coin,bitex-global-xbx-coin,XBX,298021513
658,,Valor Token,valor-token,VALOR,75000000
659,Cryptocurrency,ODUWA,oduwa,OWC,14895857.8285
660,Verification,Civic,civic,CVC,1000000000
661,Protocol,Stafi,stafi,FIS,102245900
662,E-Commerce,Elysian,elysian,ELY,260000000
663,Financial,ALLUVA,alluva,ALV,3000000000
664,Transportation,dKargo,dkargo,DKA,5000000000
665,Investments,BnkToTheFuture,bnktothefuture,BFT,1000000000
666,Blockchain Service,Silent Notary,silent-notary,SNTR,186462812051
667,Real Estate,Cybereits,cybereits,CRE,1000000000
668,Entertainment,POPCHAIN,popchain,PCH,2000000000
669,Stablecoin,EOSDT,eosdt,EOSDT,2642505.293308
670,Blockchain Service,OneLedger,oneledger,OLT,1000000000
671,,Aave SUSD,aave-susd,aSUSD,2148854
672,Smart Contracts,Aurora,aurora,AOA,10000000000
673,Gaming,CryCash,crycash,CRC,7057137.0998682
674,Platform,EDUCare,educare,EKT,724297908.475
675,DeFi,Qredo,qredo,QRDO,1000000000
676,Gaming,FootballCoin,footballcoin,XFC,1000000000
677,Social,Skrumble Network,skrumble-network,SKM,1500000000
678,,Aave MANA,aave-mana,aMANA,60287273
679,DeFi,Kebab Token,kebab-token,KEBAB,0
680,Media,Lunyr,lunyr,LUN,2703356.07853158
681,Entertainment,Pepe Cash,pepe-cash,PEPECASH,701884009
682,Marketing,Promotion Coin,promotion-coin,PC,8750000000
683,Protocol,Raven Protocol,raven-protocol,RAVEN,10000000000
684,Financial,Debitum,debitum-network,DEB,400000000
685,Privacy,Aeon,aeon,AEON,15831459.311211
686,Cryptocurrency,Soarcoin,soarcoin,SOAR,5000000000
687,AI,DeepBrain Chain,deepbrain-chain,DBC,10000000000
688,Ethereum,Crypterium,crpt,CRPT,96732618.00187267
689,,Echoin,echoin,ECH,2000000000
690,Financial,U.CASH,ucash,UCASH,21000000000
691,,Aave KNC,aave-knc,aKNC,4654328
692,Cryptocurrency,Telcoin,telcoin,TEL,100000000000
693,Exchange,VinDax Coin,vindax-coin,VD,125000000
694,Cryptocurrency,OLXA,olxa,OLXA,2600000000
695,AI,VisionX,visionx,VNX,10000000000
696,DeFi,BoringDAO,boringdao,BOR,200000
697,Cryptocurrency,Shekel,shekel,JEW,133109989.976718
698,,Aave ZRX,aave-zrx,aZRX,4714502
699,Binance,Blind Boxes,blind-boxes,BLES,0
700,Platform,Pixie Coin,pixie-coin,PXC,10000000000
701,Insurance,Pal Network,pal-network,PAL,1000000000
702,Cryptocurrency,PitisCoin,pitiscoin,PTS,1000000000
703,Financial,Nexo,nexo,NEXO,1000000000
704,Data,Proton Token,proton-token,PTT,10000000000
705,Trading,ARBITRAGE,arbitrage,ARB,8910934.51117645
706,Financial,Kora Network Token,kora-network-token,KNT,712500000
707,Trading,Kryll.io,kryll,KRL,49417348
708,Cryptocurrency,E-Dinar Coin,e-dinar-coin,EDR,1011211987.679
709,Cryptocurrency,Nasdacoin,nasdacoin,NSD,26406807.81261514
710,Cryptocurrency,CROAT,croat,CROAT,90072394.71539465
711,Social,Matchpool,guppy,GUP,98855149.62
712,Exchange,BQT,bqt,BQTX,800000000
713,Exchange,Huobi Token,huobi-token,HT,500000000
714,DeFi,Amp,amp,AMP,99213408535
715,Financial,Jury.Online Token,jury-online-token,JOT,18601983.9507074
716,Marketing,Friendz,friends,FDZ,1129842156.3806603
717,Data,Cosmo Coin,cosmo-coin,COSM,923000000
718,Smart Contracts,ModulTrade,modultrade,MTRC,78125410.7521347
719,Blockchain Service,Blue Whale EXchange,blue-whale-token,BWX,64320000
720,,Aave BUSD,aave-busd,aBUSD,9850345
721,Financial,Forty Seven Bank (47 Bank),forty-seven-bank,FSBT,3699483.0
722,Other,empowr coin,empowr-coin,EMPR,12000000000000
723,Other,Exosis,exosis,EXO,681268.10087038
724,Cryptocurrency,Bitcoin BEP2,bitcoin-bep2,BTCB,112501
725,Supply,Temco,temco,TEMCO,6000000000
726,Protocol,0xcert Protocol,0xcert,ZXC,343562130.402
727,Data,Prometeus,prometeus,PROM,19250000
728,,Aave REP,aave-rep,aREP,4935
729,,Aave LEND,aave-lend,aLEND,
730,Blockchain Service,DAV Token,dav-coin,DAV,1380276937.5528216
731,Cryptocurrency,Cashberry Coin,cashberry-coin,CBC,90005603.0
732,Social,HitChain,hitchain,HIT,102400000000
733,Financial,Pillar,pillar,PLR,800000000
734,Protocol,PumaPay,pumapay,PMA,78042956829
735,Exchange,LocalCoinSwap,local-coin-swap,LCS,70009208.97348993
736,Cryptocurrency,LEOcoin,leocoin,LC4,21000000
737,Exchange,OKB,okb,OKB,300000000
738,Cryptocurrency,MIR COIN,mir-coin,MIR,1300000000
739,Healthcare,Timicoin,timicoin,TMC,317149560.162186
740,Trading,Mango Markets,mango-markets,MNGO,10000000000
741,Platform,Honest,honest,HNST,400000000
742,Social,Consentium,consentium,CSM,240000000
743,Marketing,BitRewards,bitrewards,BIT,544070955.5837462
744,Cryptocurrency,ATC Coin,atc-coin,ATCC,410000000
745,Gas Token,Theta Fuel,theta-fuel,TFUEL,5301214400
746,Cloud Computing,CUDOS,cudos,CUDOS,10000000000
747,Data,Airbloc,airbloc,ABL,373217500
748,Data,DxChain,dxchain-token,DX,100000000000
749,Real Estate,APIS,apis,APIS,9520000000
750,Advertising,Ubex,ubex,UBEX,3923877491.5183
751,Transportation,LogisCoin,logiscoin,LGS,2351215.43440527
752,Supply,Insolar,insolar,XNS,1000000000
753,Ethereum,Davinci Coin,davinci-coin,DAC,8800000000
754,Ethereum,NFTX Hashmasks Index,nftx-hashmasks-index,MASK,214.7949055
755,Other,Olive,olive,OLE,10000000000
756,Exchange,OceanEx,oceanex-token,OCE,8811756112.4
757,Interoperability,Ark,ark,ARK,161232082
758,Social,bitCEO,bitceo,BCEO,2970135500
759,Prediction Market,IGToken,igtoken,IG,6562786056.1979
760,Decentralized Exchange,Falconswap,fsw-token,FSW,100000000
761,Social,AiLink Token,ailink-token,ALI,10000000000
762,DeFi,Index Cooperative,index-cooperative,INDEX,10000000
763,Exchange,Chintai,chex,CHEX,500000000
764,Supply,Wabi,tael,WABI,100000000
765,Energy,KWHCoin,kwhcoin,KWH,2193100000
766,IoT,Six Domain Chain,six-domain-chain,SDA,2000000000
767,Other,CariNet,carinet,CIT,1000000000
768,Healthcare,FarmaTrust,farmatrust,FTT,1000000000
769,Cryptocurrency,Niobio Cash,niobio-cash,NBR,140803742.762465
770,Financial,MGC Token,mgc-token,MGC,600000000
771,Blockchain Service,Knoxstertoken,knoxstertoken,FKX,150000000
772,Supply,Blocery,blocery,BLY,1000000000
773,Blockchain Service,Butterfly Protocol,butterfly-protocol-2,BFLY,0
774,Other,Kin,kin,KIN,10000000000000
775,Gambling,TFL.io,trueflip,TFL,8924667
776,Cryptocurrency,ABBC Coin,abbc-coin,ABBC,1500000000
777,Lending,HOLD,hold,HOLD,923453365
778,Energy,WPP,wpp-token,WPP,5000000000
779,Interoperability,BUMO,bumo,BU,1500000000
780,Social,HeartBout,heartbout,HB,63695267
781,DeFi,Auto,auto,AUTO,53002.53352229
782,Other,Ti-Value,ti-value,TV,210000000
783,Marketplace,district0x,district0x,DNT,1000000000
784,Blockchain Service,Gems ,gems-protocol,GEM,8000000000
785,Blockchain Service,EosBLACK,eosblack,BLACK,3000000000
786,Smart Contracts,Quantstamp,quantstamp,QSP,976442388.321185
787,Exchange,Bitmart,bitmart-token,BMX,643596615.9880412
788,Social,Global Social Chain,global-social-chain,GSC,1000000000
789,Blockchain Service,DWS,dws,DWS,500000000
790,Financial,Formosa Financial,formosa-financial,FMF,2000000000
791,Exchange,HashCoin,hashcoin,HSC,50000000000
792,Entertainment,Contentos,contentos,COS,9957264018.6
793,Financial,V-Dimension,v-dimension,VOLLAR,2100000000
794,Other,Helpico,helpico,HELP,5008576.24641
795,Gaming,Gourmet Galaxy,gourmet-galaxy,GUM,20000000
796,Insurance,Zeusshield,zeusshield,ZSC,5642500000
797,Financial,DPRating,dprating,RATING,9362961677.089724
798,IoT,MyBit,mybit,MYB,179996749.91415927
799,Mining,Ice Rock Mining,ice-rock-mining,ROCK2,15724272
800,Cryptocurrency,BitcoiNote,bitcoinote,BTCN,13121567
801,Marketing,Webcoin,webcoin,WEB,1000000000
802,Real Estate,Relex,relex,RLX,2000000000
803,Exchange,MEX,mex,MEX,1939999970
804,Verification,Remme,remme,REM,1000000000
805,,Aave USDC,aave-usdc,aUSDC,166565229
806,Marketplace,Alphacat,alphacat,ACAT,6250000000
807,Platform,YOU COIN,you-coin,YOU,2856000000
808,,Aave WBTC,aave-wbtc,aWBTC,15853
809,Media,ClearCoin,clearcoin,XCLR,1000000000
810,Financial,Starta,starta,STA,4995565
811,Other,GSENetwork,gsenetwork,GSE,100000000000
812,Financial,MoneyToken,moneytoken,IMT,19155705310.11
813,Platform,Rotharium,rotharium,RTH,5207470.24862486
814,Gaming,ugChain,ugchain,UGC,1000000000
815,Investments,United Traders Token,uttoken,UTT,69403130.9798553
816,Platform,ProximaX,proximax,XPX,9000000000
817,Other,OneRoot Network,oneroot-network,RNT,400000000
818,Financial,LinkEye,linkeye,LET,1000000000
819,Ethereum,Etherparty,etherparty,FUEL,1000000000
820,Gambling,ShowHand,showhand,HAND,403000000000
821,Gambling,Decentral Games,decentral-games,DG,1000000
822,Trading,Lendroid Support Token,lendroid-support-token,LST,1210071487.342
823,Financial,Iconomi,iconomi,ICN,98930339.7729087
824,Decentralized Exchange,AirSwap,airswap,AST,500000000
825,Healthcare,Medicalchain,medical-chain,MTN,500000000
826,Smart Contracts,Chronologic,chronologic,DAY,1400419.47351266
827,Decentralized Exchange,ZeroSwap,zeroswap,ZEE,100000000
828,Platform,GoHelpFund,gohelpfund,HELP,23000000
829,Financial,Metal,metal,MTL,66588888
830,DeFi,Beefy.Finance,beefy-finance,BIFI,80000
831,Other,Eva Cash,eva-cash,EVC,1000000
832,Entertainment,WeShow Token,weshow-token,WET,1250000000
833,Cryptocurrency,Novacoin,novacoin,NVC,2335756.713897
834,Exchange,OTCBTC Token,otcbtc-token,OTB,199470887.762562
835,Blockchain Network,Couchain,couchain,COU,23000000000
836,Ethereum,Razor Network,razor-network,RAZOR,1000000000
837,Cryptocurrency,Bitcoin SV,bitcoin-sv,BSV,18896532.89423905
838,Ethereum,DreamTeam,dreamteam-token,DTT,55191260
839,Cryptocurrency,W3Coin,w3coin,W3C,99998988889
840,Marketplace,Earth Token,earth-token,EARTH,750000000
841,Advertising,DATx,datx,DATX,10000000000
842,Prediction Market,Stox,stox,STX,53616684.03241219
843,Financial,Neumark,neumark,NEU,64426620.43478169
844,Entertainment,Moviebloc,moviebloc,MBL,30000000000
845,Privacy,MoneroV,monero-v,XMV,13598604.127477
846,Blockchain Network,Decent,decent,DCT,73197775
847,Gambling,Dragon Coins,dragon-coins,DRG,442695970.07088
848,Mining,ZMINE,zmine,ZMN,220381404.9900193
849,Protocol,Graphlinq Protocol,graphlinq-protocol,GLQ,499999972.79754
850,Financial,SIX,six,SIX,999999970
851,Financial,Paycent,paycent,PYN,100000000
852,Energy,Robotina,robotina,ROX,331614076.92142236
853,Privacy,DAPS Token,daps-token,DAPS,60000000000
854,Cryptocurrency,Metronome,metronome,MET,13565898.26767617
855,Healthcare,Humanscape,humanscape,HUM,1084734273.38
856,Verification,Nuggets,nuggets,NUG,9729464161.02413
857,Protocol,Smartshare,smartshare,SSP,10000000000
858,Entertainment,Eristica,eristica,ERT,230502120.2949735
859,DeFi,Non-Fungible Yearn,non-fungible-yearn,NFY,100000
860,Interoperability,Clover Finance,clover,CLV,1000000000
861,Verification,VeriME,verime,VME,400000000
862,Protocol,Glitch,glitch,GLCH,88888888
863,Data,Measurable Data Token,measurable-data-token,MDT,1000000000
864,Media,Pibble,pibble,PIB,30000000000
865,Tokenization,CARAT,carat,CARAT,2000000
866,Financial,Daneel,daneel,DAN,69320719
867,Data,Insights Network,insights-network,INSTAR,288173823.3956
868,Advertising,Fractal,fractal,FCL,465000000
869,Entertainment,Theta,theta,THETA,1000000000
870,,CyberMiles,cybermiles,CMT,1000000000
871,Privacy,GIGA,giga,XG,472151842.053
872,Trading,DEXTools,dextools,DEXT,149953255
873,IoT,SDChain,sdchain,SDA,1999999978.51766
874,Cryptocurrency,Wixlar,wixlar,WIX,5330000000
875,Verification,Metadium,metadium,META,2000000000
876,Blockchain Service,ADAMANT Messenger,adamant-messenger,ADM,107874844.35
877,AI,ELA Coin,ela-coin,ELAC,10000000000
878,Gaming,PlayDapp,playdapp,PLA,700000000
879,Blockchain Service,IceChain,icechain,ICHX,1000000000
880,Financial,VegaWallet Token,vegawallet-token,VGW,200000000
881,Cryptocurrency,NAGA,naga,NGC,77910266.157691
882,Mining,HashBX,hashsbx,HBX,1000000000
883,Platform,AMO Coin,amo-coin,AMO,19679012761.81035
884,Blockchain Network,LTO Network,lto-network,LTO,398849215.809692
885,Financial,Fortuna,fortuna,FOTA,1000000000
886,Financial,Akropolis,akropolis,AKRO,4000000000
887,Marketing,Fluz Fluz,fluz-fluz,FLUZ,204780000
888,DeFi,Reserve,reserve-rights,RSR,100000000000
889,Supply,TE-FOOD,te-food,TFD,1000000000
890,Blockchain Service,Cloudbric,cloudbric,CLB,989556846
891,Ethereum,Efinity,efinity,EFI,2000000000
892,Blockchain Service,Ink Protocol,ink-protocol,XNK,500000000
893,DeFi,Frax Share,frax-share,FXS,99899045.23782395
894,Cryptocurrency,Ormeus Coin,ormeus-coin,ORME,200000000
895,Protocol,Atlas Protocol,atlas-protocol,ATP,4000001000
896,Protocol,Hashgard,hashgard,GARD,10000000000
897,Education,Blockchain Certified Data Token,blockchain-certified-data-token,BCDT,40835044.38886192
898,Financial,Darico Ecosystem Coin,darcio-ecosystem-coin,DEC,99006341.50190786
899,Platform,HyperQuant,hyperquant,HQT,100000000
900,Cryptocurrency,ILCoin,ilcoin,ILC,1761217657.452142
901,Cryptocurrency,Tolar,tolar,TOL,760047645.8576834
902,Real Estate,Etheera,etheera,ETA,9919303956.4122
903,Financial,Safe Haven,safe-haven,SHA,8500000000
904,Platform,OnX Finance,onx-finance,ONX,787439.339231
905,Network,Substratum,substratum,SUB,472000000
906,,LinkToken,linktoken,LTK,1500000000
907,Platform,Lition,lition,LIT,130039256.689
908,Financial,BHPCash,bhpcash,BHPC,46915621.12
909,Infrastructure,Unibright,unibright,UBT,150000000
910,Blockchain Network,EdenChain,eden,EDN,1000000000
911,Binance,aXpire,axpire,AXP,346274001.40087
912,Gaming,Big Bang Game Coin,big-bang-game-coin,BBGC,10000000000
913,DeFi,Duck DAO,duck-dao,DUCK,95986126.46717
914,Verification,Blockpass,blockpass,PASS,1000000000
915,Blockchain Service,Newton,newton,NEW,98823661261.46
916,Data,Streamr,streamr-datacoin,DATA,861800041.8100061
917,Protocol,Trinity Protocol,trinity-protocol,TRI,0
918,Blockchain Service,XYO Network,xyo,XYO,13960974963
919,Verification,Radium,radium,RADS,4195412.03757967
920,Gaming,PlayGame Token,playgame-token,PXG,1000000000
921,Jobs,Canya,canyacoin,CAN,95826983.065
922,Real Estate,Max Property Group,max-property-group,MPG,1000000000
923,Blockchain Network,VeriBlock,veriblock,VBK,1049272407.1872987
924,Virtual Reality,Scanet World Coin,scanet-world-coin,SWC,1000000000
925,Cryptocurrency,MetaHash,metahash,MHC,3073498154
926,,DECOIN,decoin,DTEP,78382331.74382655
927,Supply,Serve,serve,SERV,10000000000
928,Decentralized Exchange,Nectar,nectar,NEC,618133330.107871
929,Interoperability,ICON,icon,ICX,800460000
930,Blockchain Service,Merculet,merculet,MVP,10000000000
931,DeFi,SakeToken,sake-token,SAKE,136268483.6258822
932,Ethereum,BitDAO,bitdao,BIT,10000000000
933,Platform,Hyperion,hyperion,HYN,7876642307
934,Cloud Storage,Filecoin,file-coin,FIL,123070944
935,Real Estate,IHT Real Estate Protocol,iht-real-estate-protocol,IHT,996491162
936,Cryptocurrency,Benz,benz,BENZ,6680472.88
937,Gaming,Chain Guardians,chain-guardians,CGG,120000000
938,Cryptocurrency,Bitcoin Gold,bitcoin-gold,BTG,17513923.589
939,Platform,Simple Token (OST),ost,OST,800000000
940,Virtual Reality,Matryx,matryx,MTX,314159265
941,Ethereum,AidCoin,aidcoin,AID,42547118.7
942,Ethereum,Adventure Gold,adventure-gold,AGLD,70170001
943,Cryptocurrency,Bitcoin Interest,bitcoin-interest,BCI,18326891.5
944,Blockchain Network,MultiVAC,multivac,MTV,10000000000
945,Entertainment,Atari Token,atari-token,ATRI,1975082183
946,DeFi,ORO,oro,ORO,100000000
947,Stablecoin,Tether,tether,USDT,76357051672.20364
948,Platform,Callisto Network,callisto-network,CLO,2614098213.01297
949,Financial,Auctus,auctus,AUC,65829630.62007512
950,Gaming,Magic Cube Coin,magic-cube-coin,MCC,20000000000
951,Financial,Aladdin,aladdin,ADN,100000000000
952,AI,Jarvis+,jarvis,JAR,600000000
953,Blockchain Service,Dragonchain,dragonchain,DRGN,433494437
954,Decentralized Exchange,Loopring [NEO],loopring-neo,LRN,113602931.2
955,Cloud Storage,Holo,holo,HOT,177619433541.14133
956,Marketing,Incent,incent,INCNT,46015890.96620686
957,Gaming,Gala,gala,GALA,35240112493
958,Platform,Content Neutrality Network,content-neutrality-network,CNN,100000000000
959,Ethereum,Covesting,covesting,COV,20000000
960,Blockchain Service,Atonomi,atonomi,ATMI,1000000000
961,Platform,Volt,volt,ACDC,4000000000
962,Financial,Counos X,counos-x,CCXX,18402729.795
963,Art,Maecenas,maecenas,ART,100000000
964,Transportation,AVINOC,avinoc,AVINOC,1000000000
965,Gambling,WinStars.live,winstars-live,WNL,77777777
966,Protocol,PalletOne,palletone,PTN,1000000000
967,Exchange,Coinsuper Ecosystem Network,coinsuper-ecosystem-network,CEN,898614083.223577
968,Stablecoin,Brazilian Digital Token,brz,BRZ,1000000000
969,,WINk,wink,WIN,994569859243.4863
970,Gaming,GAMEE,gamee,GMEE,3180000000
971,Data,BaaSid,baasid,BAAS,10000000000
972,Smart Contracts,Ethereum,ethereum,ETH,118336769.4365
973,Platform,NPER,nper,NPER,218999990
974,Financial,COTI,coti,COTI,2000000000
975,Ethereum,BOOM,boom,BOOM,967463672.6522181
976,Entertainment,Webflix Token,webflix-token,WFX,27000000000
977,Financial,UTRUST,utrust,UTK,500000000
978,Smart Contracts,NEM,nem,XEM,8999999999
979,Financial,Santiment,santiment,SAN,83337000
980,Blockchain Network,Elastos,elastos,ELA,24741272.6207065
981,Data,Datawallet,datawallet,DXT,1000000000
982,Other,Neural Protocol,neural-protocol,NRP,9500000000
983,Blockchain Service,GoNetwork,gonetwork,GOT,100000000
984,Platform,Loom Network,loom-network,LOOM,1000000000
985,Infrastructure,Chromia,chromia,CHR,471970667.472656
986,Blockchain Service,Nucleus Vision,nucleus-vision,NCASH,10000000000
987,Blockchain Network,Mastercoin (Omni),omni,OMNI,619287.60046577
988,Platform,Katalyo,katalyo,KTLYO,85000000
989,Financial,Ivy,ivy,IVY,1610924200
